"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://medimotive.de/","775","146","5,308","49,931","Hard","","","","","","","","","","en","c4cd7ab32d81daa1b2febc6dd6b4f24a","Indexable",""
"https://medimotive.de/services/supplier-quality-complaint-management","801","110","7,282","55,170","Fairly Hard","","","","","","","","","","en","3926340ba8c5ccaa66849eb8548d038b","Indexable",""
"https://medimotive.de/services/knowledge-gap-transition-security","730","103","7,087","48,520","Hard","","","","","","","","","","en","9705e02298037680e8558b35bf383a9","Indexable",""
"https://medimotive.de/services/ramp-up-process-stability","704","101","6,970","54,955","Fairly Hard","","","","","","","","","","en","ff298d12c0cc00647f3da9d8c8b8c702","Indexable",""
"https://medimotive.de/regions","844","136","6,206","26,324","Very Hard","","","","","","","","","","en","958e6bed0be7129d28c3824d6559b6c","Indexable",""
"https://medimotive.de/case-studies","246","43","5,721","58,653","Fairly Hard","","","","","","","","","","en","a10b3f7312776ffdd4aae7b25c3272c2","Indexable",""
"https://medimotive.de/services/rapid-response-troubleshooting","688","99","6,949","60,462","Normal","","","","","","","","","","en","a0e007db965283d39f45746f5aaefb65","Indexable",""
"https://medimotive.de/services/qms-audit-regulatory-support","730","102","7,157","57,489","Fairly Hard","","","","","","","","","","en","311ec55d1162ce5a6d71ef39810fcdae","Indexable",""
"https://medimotive.de/our-approach","867","143","6,063","59,096","Fairly Hard","","","","","","","","","","en","755dad0fc84e2745a7cf08f5be78a11c","Indexable",""
"https://medimotive.de/services/early-phase-risk-design-for-quality","772","102","7,569","51,870","Fairly Hard","","","","","","","","","","en","3086cd157158d314c303d5eba25a5f5c","Indexable",""
"https://medimotive.de/services","978","149","6,564","56,751","Fairly Hard","","","","","","","","","","en","243218ceede6573f1bc0de43116feeb5","Indexable",""
"https://medimotive.de/certificates","421","71","5,930","22,172","Very Hard","","","","","","","","","","en","bf73c88a8e0c958f7db6282b1b2b0e3","Indexable",""
"https://medimotive.de/imprint","108","29","3,724","51,872","Fairly Hard","","","","","","","","","","en","fba842fdc14bd302f8851208897e0ab2","Non-Indexable","noindex"
"https://medimotive.de/contact","79","16","4,938","48,687","Hard","","","","","","","","","","en","65e9dcf7e6fd846065567b972caedf4d","Indexable",""
"https://medimotive.de/de/","46","10","4,600","47,679","Hard","","","","","","","","","","de","b124ab96c02142873f765357eb44b112","Non-Indexable","noindex"
"https://medimotive.de/privacy","2223","326","6,819","71,434","Fairly Easy","","","","","","","","","","en","ae646528874e88fbd6544b5f3423d5df","Non-Indexable","noindex"
"https://medimotive.de/about","928","144","6,444","40,666","Hard","","","","","","","","","","en","af242332eacf1d4296fd20438fd22309","Indexable",""
"https://medimotive.de/work-journey","391","77","5,078","33,130","Hard","","","","","","","","","","en","6c7fe3cc9d307e4a3410feaedbf77dd","Indexable",""
"https://medimotive.de/case-production-ramp-up","504","85","5,929","62,670","Normal","","","","","","","","","","en","5ac5a1e2953138f1ef2fdc36628dc330","Indexable",""
"https://medimotive.de/case-coated-aluminum-parts","583","94","6,202","67,327","Normal","","","","","","","","","","en","2fd57ef9741bb229eca364eefd842674","Indexable",""
