"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://medimotive.de/","text/html; charset=utf-8","200","OK","Indexable","","Production Quality Consulting | MediMotive — Germany","52","491","Manufacturing quality consulting for machining and assembly companies — supplier escalation, ramp-up, OEM complaints, QMS, and regulatory support. 20+ years. Germany.","166","1076","","0","Practical Quality Work Close to Production","42","Proof in real projects","22","Where risks and quality problems usually hide","45","","","","https://medimotive.de/","","","","","","38843","8549","8549","3,275","","773","147","5,259","49,809","Hard","16,568","0","0","","44","20","0","100,000","53","18","0","1","1","0","","","","","f60fb24abb6a7f74bd13f4403f3877d5","0,057","Tue, 02 Jun 2026 02:08:56 GMT","","","","en","1.1","","","","","","https://medimotive.de/","2026-06-02 14:26:11"
"https://medimotive.de/qms-audit-regulatory-support.html","text/html; charset=utf-8","200","OK","Indexable","","QMS, Audit & Regulatory Support | MediMotive Expertise","54","499","QMS, audit, regulatory support: VDA 6.3, ISO 13485, EU-MDR, ISO 9001. MediMotive links documented procedures to real shop-floor behaviour.","138","879","","0","QMS, Audit & Regulatory Support","31","What QMS, Audit & Regulatory Support Covers","43","The test for any quality system","31","","","","https://medimotive.de/qms-audit-regulatory-support.html","","","","","","22753","5986","5986","2,293","","664","91","7,297","56,730","Fairly Hard","24,021","1","0","","69","19","0","95,000","56","18","0","2","2","0","","","","","4e20ec3789526fb211c6f66b70f84c19","0,097","Tue, 02 Jun 2026 12:22:43 GMT","","","","en","1.1","","","","","","https://medimotive.de/qms-audit-regulatory-support.html","2026-06-02 14:26:12"
"https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-post-market-surveillance.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","179028","179028","179028","68,582","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,251","Tue, 02 Jun 2026 02:22:53 GMT","","","","","1.1","","","","","","https://medimotive.de/assets/images/certificates/regulatory-affairs/bjoern-seiler-post-market-surveillance.jpg","2026-06-02 14:26:12"
"https://medimotive.de/services.html","text/html; charset=utf-8","200","OK","Indexable","","Manufacturing Quality Consulting | MediMotive — Delmenhorst","59","558","Six manufacturing quality areas: troubleshooting, suppliers, ramp-up, early-phase risk, QMS, regulatory. Shop-floor first, verified case outcomes.","146","884","","0","Manufacturing Quality Expertise — Find the Work Area That Fits Your Situation","77","From firefighting to system understanding","41","How the areas connect","21","","","","https://medimotive.de/services.html","","","","","","34656","7728","7728","2,960","","941","144","6,535","57,164","Fairly Hard","21,040","1","0","","90","19","0","95,000","63","20","0","2","2","0","","","","","cb4d52a93b54993891871a0b5529ef4e","0,077","Tue, 02 Jun 2026 02:17:49 GMT","","","","en","1.1","","","","","","https://medimotive.de/services.html","2026-06-02 14:26:12"
"https://medimotive.de/rapid-response-troubleshooting.html","text/html; charset=utf-8","200","OK","Indexable","","Rapid Response Troubleshooting | MediMotive Expertise","53","500","Rapid troubleshooting for recurring defects, measurement deadlocks, and the Perfect Part Paradox. MediMotive starts at the real process, not meetings.","150","939","","0","Rapid Response Troubleshooting","30","What Rapid Response Troubleshooting Covers","42","Where the investigation starts","30","","","","https://medimotive.de/rapid-response-troubleshooting.html","","","","","","23365","5958","5958","2,282","","682","99","6,889","62,151","Normal","24,229","1","0","","68","19","0","95,000","57","19","0","2","2","0","","","","","9365b2687ded4db1d2babb4a775c17cc","0,297","Tue, 02 Jun 2026 12:22:37 GMT","","","","en","1.1","","","","","","https://medimotive.de/rapid-response-troubleshooting.html","2026-06-02 14:26:12"
"https://medimotive.de/assets/images/certificates/quality-management/bjoern-seiler-iso-14001-environmental-management.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","298115","298115","298115","114,202","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,105","Tue, 02 Jun 2026 02:22:54 GMT","","","","","1.1","","","","","","https://medimotive.de/assets/images/certificates/quality-management/bjoern-seiler-iso-14001-environmental-management.jpg","2026-06-02 14:26:12"
"https://medimotive.de/assets/styles.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,088","Tue, 02 Jun 2026 02:12:42 GMT","","","","","1.1","","","","","","https://medimotive.de/assets/styles.css","2026-06-02 14:26:12"
"https://medimotive.de/supplier-quality-complaint-management.html","text/html; charset=utf-8","200","OK","Indexable","","Supplier Quality & Complaint Management | MediMotive Expertise","62","586","Supplier complaint loops, OEM escalation, and QSV gaps MediMotive closes, starting at the specification gap between purchasing, production, and supplier.","153","958","","0","Supplier Quality & Complaint Management","39","What Supplier Quality & Complaint Management Covers","51","The most expensive supplier problems are specification gaps","59","","","","https://medimotive.de/supplier-quality-complaint-management.html","","","","","","23857","6151","6151","2,356","","710","100","7,100","58,787","Fairly Hard","24,722","1","0","","71","19","0","95,000","57","19","0","2","2","0","","","","","87057dc7136ee2a602e14feee06b992a","0,353","Tue, 02 Jun 2026 07:15:21 GMT","","","","en","1.1","","","","","","https://medimotive.de/supplier-quality-complaint-management.html","2026-06-02 14:26:12"
"https://medimotive.de/ramp-up-process-stability.html","text/html; charset=utf-8","200","OK","Indexable","","Ramp-Up & Process Stability | MediMotive Expertise","50","461","When demand outgrows informal processes, quality fails. MediMotive connects line design, supplier co-engineering and validation so scaling keeps stability.","155","957","","0","Ramp-Up & Process Stability","27","What Ramp-Up & Process Stability Work Covers","44","Why supplier involvement comes first, not last","46","","","","https://medimotive.de/ramp-up-process-stability.html","","","","","","23212","6142","6142","2,353","","678","98","6,918","54,196","Fairly Hard","24,747","1","0","","66","19","0","95,000","57","19","0","2","2","0","","","","","a98ec1ab7207cdbaab1187a37ea298e7","0,080","Tue, 02 Jun 2026 12:22:40 GMT","","","","en","1.1","","","","","","https://medimotive.de/ramp-up-process-stability.html","2026-06-02 14:26:12"
"https://medimotive.de/contact.html","text/html; charset=utf-8","200","OK","Indexable","","Contact MediMotive | Direct Professional Contact","48","440","Contact MediMotive — direct email for professional conversations about shop-floor quality, supplier escalation, QMS, regulatory affairs, and transition security.","161","978","","0","Contact MediMotive directly","27","","0","","0","","","","https://medimotive.de/contact.html","","","","","","14286","3684","3684","1,411","","79","16","4,938","47,616","Hard","10,899","1","0","","76","19","0","95,000","42","18","0","4","2","0","","","","","93d36c4d475a8c769238e93e4319606","0,066","Tue, 02 Jun 2026 02:19:20 GMT","","","","en","1.1","","","","","","https://medimotive.de/contact.html","2026-06-02 14:26:12"
